k	i	lambda[i]

1	1	19.4524
1	2	19.7857
1	3	19.7862
1	4	19.7862
1	5	19.7862
1	6	19.7862
1	7	19.7862
1	8	19.7862

2	1	-7.39575e+22
2	2	-nan
2	3	-nan
2	4	-nan
2	5	-nan
2	6	-nan
2	7	-nan
2	8	-nan

3	1	-nan
3	2	-nan
3	3	-nan
3	4	-nan
3	5	-nan
3	6	-nan
3	7	-nan
3	8	-nan

4	1	-nan
4	2	-nan
4	3	-nan
4	4	-nan
4	5	-nan
4	6	-nan
4	7	-nan
4	8	-nan

5	1	-nan
5	2	-nan
5	3	-nan
5	4	-nan
5	5	-nan
5	6	-nan
5	7	-nan
5	8	-nan

6	1	-nan
6	2	-nan
6	3	-nan
6	4	-nan
6	5	-nan
6	6	-nan
6	7	-nan
6	8	-nan

7	1	-nan
7	2	-nan
7	3	-nan
7	4	-nan
7	5	-nan
7	6	-nan
7	7	-nan
7	8	-nan

